Drug,Metabolite,Change,Increased,Decreased,Description
Cyproterone acetate,25-hydroxyvitamin D,decreased,0,1,Cyproterone acetate decreases the level of 25-hydroxyvitamin D in the blood
Cyproterone acetate,"1,25-dihydroxyvitamin D3",decreased,0,1,"Cyproterone acetate decreases the level of 1,25-dihydroxyvitamin D3 in the blood"
Cysteamine,Creatinine,decreased,0,1,Cysteamine decreases the level of Creatinine in the blood
Cysteamine,Cystine,decreased,0,1,Cysteamine decreases the level of Cystine in the blood
Cysteamine,Calcium,decreased,0,1,Cysteamine decreases the level of Calcium in the blood
Cysteamine,Tellurium,increased,1,0,Cysteamine increases the level of Tellurium in the blood
Daclatasvir,Creatinine,increased,1,0,Daclatasvir increases the level of Creatinine in the blood
Daclizumab,Creatinine,decreased,0,1,Daclizumab decreases the level of Creatinine in the blood
Dalteparin,Creatinine,decreased,0,1,Dalteparin decreases the level of Creatinine in the blood
Dalteparin,Blood urea nitrogen,decreased,0,1,Dalteparin decreases the level of Blood urea nitrogen in the blood
Danazol,Bilirubin,increased,1,0,Danazol increases the level of Bilirubin in the blood
Danazol,Estrogen,decreased,0,1,Danazol decreases the level of Estrogen in the blood
Danazol,LDL cholesterol,increased,1,0,Danazol increases the level of LDL cholesterol in the blood
Danazol,Dehydroepiandrosterone sulfate,increased,1,0,Danazol increases the level of Dehydroepiandrosterone sulfate in the blood
Danazol,Total cortisol,decreased,0,1,Danazol decreases the level of Total cortisol in the blood
Danazol,Estradiol,increased,1,0,Danazol increases the level of Estradiol in the blood
Danazol,Free thyroxine,increased,1,0,Danazol increases the level of Free thyroxine in the blood
Danazol,Dehydroepiandrosterone,decreased,0,1,Danazol decreases the level of Dehydroepiandrosterone in the blood
Danazol,HDL cholesterol,decreased,0,1,Danazol decreases the level of HDL cholesterol in the blood
Danazol,Estradiol,decreased,0,1,Danazol decreases the level of Estradiol in the blood
Danazol,Free testosterone,increased,1,0,Danazol increases the level of Free testosterone in the blood
Danazol,Total thyroxine,decreased,0,1,Danazol decreases the level of Total thyroxine in the blood
Danazol,Free cortisol,increased,1,0,Danazol increases the level of Free cortisol in the blood
Danazol,Progesterone,decreased,0,1,Danazol decreases the level of Progesterone in the blood
Danazol,Total testosterone,decreased,0,1,Danazol decreases the level of Total testosterone in the blood
Danazol,Glucose,decreased,0,1,Danazol decreases the level of Glucose in the blood
Dapagliflozin,Uric acid,decreased,0,1,Dapagliflozin decreases the level of Uric acid in the blood
Dapagliflozin,Glucose,decreased,0,1,Dapagliflozin decreases the level of Glucose in the blood
Dapsone,Bilirubin,increased,1,0,Dapsone increases the level of Bilirubin in the blood
Debrisoquine,Homovanillic acid,decreased,0,1,Debrisoquine decreases the level of Homovanillic acid in the blood
Debrisoquine,3-methoxy-4-hydroxyphenylglycol,decreased,0,1,Debrisoquine decreases the level of 3-methoxy-4-hydroxyphenylglycol in the blood
Debrisoquine,Dihydroxyphenylacetic acid,decreased,0,1,Debrisoquine decreases the level of Dihydroxyphenylacetic acid in the blood
Deferasirox,Potassium,increased,1,0,Deferasirox increases the level of Potassium in the blood
Deferasirox,Magnesium,decreased,0,1,Deferasirox decreases the level of Magnesium in the blood
Deferasirox,Calcium,decreased,0,1,Deferasirox decreases the level of Calcium in the blood
Deferasirox,Zinc,decreased,0,1,Deferasirox decreases the level of Zinc in the blood
Deferasirox,Labile plasma iron,decreased,0,1,Deferasirox decreases the level of Labile plasma iron in the blood
Deferasirox,Copper,decreased,0,1,Deferasirox decreases the level of Copper in the blood
Deferasirox,Creatinine,increased,1,0,Deferasirox increases the level of Creatinine in the blood
Deferasirox,Uric acid,decreased,0,1,Deferasirox decreases the level of Uric acid in the blood
Deferiprone,Non-transferrin-bound iron,decreased,0,1,Deferiprone decreases the level of Non-transferrin-bound iron in the blood
Deferiprone,Creatinine,increased,1,0,Deferiprone increases the level of Creatinine in the blood
Deferoxamine,Aluminum,decreased,0,1,Deferoxamine decreases the level of Aluminum in the blood
Deferoxamine,Glucose,decreased,0,1,Deferoxamine decreases the level of Glucose in the blood
Deferoxamine,Peroxides,decreased,0,1,Deferoxamine decreases the level of Peroxides in the blood
Deferoxamine,Creatinine,increased,1,0,Deferoxamine increases the level of Creatinine in the blood
Deferoxamine,Non-transferrin-bound iron,decreased,0,1,Deferoxamine decreases the level of Non-transferrin-bound iron in the blood
Deferoxamine,Iron,increased,1,0,Deferoxamine increases the level of Iron in the blood
Deferoxamine,Triglycerides,decreased,0,1,Deferoxamine decreases the level of Triglycerides in the blood
Defibrotide,Malonyl dialdehyde,decreased,0,1,Defibrotide decreases the level of Malonyl dialdehyde in the blood
Defibrotide,Thromboxane B2,decreased,0,1,Defibrotide decreases the level of Thromboxane B2 in the blood
Defibrotide,Cyclic Adenosine Monophosphate,increased,1,0,Defibrotide increases the level of Cyclic Adenosine Monophosphate in the blood
Defibrotide,Leukotriene B4,decreased,0,1,Defibrotide decreases the level of Leukotriene B4 in the blood
Defibrotide,Prostaglandin E2,increased,1,0,Defibrotide increases the level of Prostaglandin E2 in the blood
Defibrotide,6-keto-PGF1 alpha,increased,1,0,Defibrotide increases the level of 6-keto-PGF1 alpha in the blood
Deflazacort,HDL cholesterol,increased,1,0,Deflazacort increases the level of HDL cholesterol in the blood
Degarelix,Dihydrotestosterone,decreased,0,1,Degarelix decreases the level of Dihydrotestosterone in the blood
Degarelix,Testosterone,decreased,0,1,Degarelix decreases the level of Testosterone in the blood
Demeclocycline,Sodium,increased,1,0,Demeclocycline increases the level of Sodium in the blood
Demeclocycline,Calcium,increased,1,0,Demeclocycline increases the level of Calcium in the blood
Demeclocycline,Creatinine,increased,1,0,Demeclocycline increases the level of Creatinine in the blood
Demeclocycline,Vasopressin,increased,1,0,Demeclocycline increases the level of Vasopressin in the blood
Demeclocycline,Urea nitrogen,increased,1,0,Demeclocycline increases the level of Urea nitrogen in the blood
Denosumab,Calcium,decreased,0,1,Denosumab decreases the level of Calcium in the blood
Denosumab,Glucose,increased,1,0,Denosumab increases the level of Glucose in the blood
Denosumab,Intact N-terminal propeptide of type 1 procollagen,decreased,0,1,Denosumab decreases the level of Intact N-terminal propeptide of type 1 procollagen in the blood
Denosumab,Cortisol,increased,1,0,Denosumab increases the level of Cortisol in the blood
Denosumab,C-terminal crosslinking telopeptide of type 1 collagen,decreased,0,1,Denosumab decreases the level of C-terminal crosslinking telopeptide of type 1 collagen in the blood
Denosumab,Lactate,increased,1,0,Denosumab increases the level of Lactate in the blood
Desipramine,Antidiuretic hormone,increased,1,0,Desipramine increases the level of Antidiuretic hormone in the blood
Desipramine,Sodium,decreased,0,1,Desipramine decreases the level of Sodium in the blood
Desipramine,3-methoxy-4-hydroxy/phenethyleneglycol,decreased,0,1,Desipramine decreases the level of 3-methoxy-4-hydroxy/phenethyleneglycol in the blood
Desipramine,Norepinephrine,increased,1,0,Desipramine increases the level of Norepinephrine in the blood
Desipramine,Dihydroxyphenylglycol,decreased,0,1,Desipramine decreases the level of Dihydroxyphenylglycol in the blood
Desipramine,"3,4-dihydroxyphenylethyleneglycol",decreased,0,1,"Desipramine decreases the level of 3,4-dihydroxyphenylethyleneglycol in the blood"
Desipramine,Serotonin,decreased,0,1,Desipramine decreases the level of Serotonin in the blood
Desipramine,3-methoxy-4-hydroxyphenylglycol,decreased,0,1,Desipramine decreases the level of 3-methoxy-4-hydroxyphenylglycol in the blood
Desmopressin,Plasma serotonin,increased,1,0,Desmopressin increases the level of Plasma serotonin in the blood
Desmopressin,Sodium,decreased,0,1,Desmopressin decreases the level of Sodium in the blood
Desmopressin,Platelet serotonin,decreased,0,1,Desmopressin decreases the level of Platelet serotonin in the blood
Desogestrel,Ethinyl Estradiol,increased,1,0,Desogestrel increases the level of Ethinyl Estradiol in the blood
Desogestrel,Copper,increased,1,0,Desogestrel increases the level of Copper in the blood
Dexamethasone,Cortisol,decreased,0,1,Dexamethasone decreases the level of Cortisol in the blood
Dexamethasone,Triglycerides,increased,1,0,Dexamethasone increases the level of Triglycerides in the blood
Dexamethasone,Hydroxymethylglutaryl coenzyme A,increased,1,0,Dexamethasone increases the level of Hydroxymethylglutaryl coenzyme A in the blood
Dexamethasone,Pregnenolone,decreased,0,1,Dexamethasone decreases the level of Pregnenolone in the blood
Dexamethasone,Dehydroepiandrosterone,decreased,0,1,Dexamethasone decreases the level of Dehydroepiandrosterone in the blood
Dexamethasone,17 alpha- hydroxypregnenolone,decreased,0,1,Dexamethasone decreases the level of 17 alpha- hydroxypregnenolone in the blood
Dexamethasone,Dehydroepiandrosterone sulfate,decreased,0,1,Dexamethasone decreases the level of Dehydroepiandrosterone sulfate in the blood
Dexamethasone,"1,25-dihydroxyvitamin D3",decreased,0,1,"Dexamethasone decreases the level of 1,25-dihydroxyvitamin D3 in the blood"
Dexamethasone,Androstenedione,decreased,0,1,Dexamethasone decreases the level of Androstenedione in the blood
Dexamethasone,Testosterone,decreased,0,1,Dexamethasone decreases the level of Testosterone in the blood
Dexamethasone,25-hydroxyvitamin D,decreased,0,1,Dexamethasone decreases the level of 25-hydroxyvitamin D in the blood
Dexfenfluramine,C-peptide,decreased,0,1,Dexfenfluramine decreases the level of C-peptide in the blood
Dexfenfluramine,LDL cholesterol,decreased,0,1,Dexfenfluramine decreases the level of LDL cholesterol in the blood
Dexfenfluramine,Serotonin,increased,1,0,Dexfenfluramine increases the level of Serotonin in the blood
Dexfenfluramine,Total cholesterol,decreased,0,1,Dexfenfluramine decreases the level of Total cholesterol in the blood
Dexfenfluramine,Glucose,decreased,0,1,Dexfenfluramine decreases the level of Glucose in the blood
Dexmedetomidine,"3,4-dihydroxyphenylglycol",decreased,0,1,"Dexmedetomidine decreases the level of 3,4-dihydroxyphenylglycol in the blood"
Dexmedetomidine,Norepinephrine,decreased,0,1,Dexmedetomidine decreases the level of Norepinephrine in the blood
"Dextrose, unspecified form",glucose,increased,1,0,"Dextrose, unspecified form increases the level of glucose in the blood"
"Dextrose, unspecified form",Phosphate,decreased,0,1,"Dextrose, unspecified form decreases the level of Phosphate in the blood"
Diamorphine,6-Acetylmorphine,increased,1,0,Diamorphine increases the level of 6-Acetylmorphine in the blood
Diamorphine,Norepinephrine,decreased,0,1,Diamorphine decreases the level of Norepinephrine in the blood
Diatrizoate,Blood urea nitrogen,increased,1,0,Diatrizoate increases the level of Blood urea nitrogen in the blood
Diatrizoate,Creatinine,increased,1,0,Diatrizoate increases the level of Creatinine in the blood
Diazepam,Desmethyldiazepam,increased,1,0,Diazepam increases the level of Desmethyldiazepam in the blood
Diazoxide,C-peptide,decreased,0,1,Diazoxide decreases the level of C-peptide in the blood
Diazoxide,Glucose,decreased,0,1,Diazoxide decreases the level of Glucose in the blood
Diazoxide,Glucose,increased,1,0,Diazoxide increases the level of Glucose in the blood
Diclofenamide,Bicarbonate,decreased,0,1,Diclofenamide decreases the level of Bicarbonate in the blood
Didanosine,Glucose,increased,1,0,Didanosine increases the level of Glucose in the blood
Didanosine,Cholesterol,increased,1,0,Didanosine increases the level of Cholesterol in the blood
Didanosine,Uric acid,increased,1,0,Didanosine increases the level of Uric acid in the blood
Didanosine,Lactic acid,increased,1,0,Didanosine increases the level of Lactic acid in the blood
Didanosine,Bilirubin,increased,1,0,Didanosine increases the level of Bilirubin in the blood
Diethylstilbestrol,Testosterone,decreased,0,1,Diethylstilbestrol decreases the level of Testosterone in the blood
Digoxin,Creatinine,increased,1,0,Digoxin increases the level of Creatinine in the blood
Dihydrotachysterol,Phosphorus,increased,1,0,Dihydrotachysterol increases the level of Phosphorus in the blood
Dihydrotachysterol,Calcium,increased,1,0,Dihydrotachysterol increases the level of Calcium in the blood
Diltiazem,Glucose,increased,1,0,Diltiazem increases the level of Glucose in the blood
Diltiazem,Potassium,decreased,0,1,Diltiazem decreases the level of Potassium in the blood
Diltiazem,Homocysteine,decreased,0,1,Diltiazem decreases the level of Homocysteine in the blood
Diltiazem,Lactate,increased,1,0,Diltiazem increases the level of Lactate in the blood
Dipyridamole,Phosphorus,increased,1,0,Dipyridamole increases the level of Phosphorus in the blood
Dipyridamole,Glucose,decreased,0,1,Dipyridamole decreases the level of Glucose in the blood
Dipyridamole,Hydrogen peroxide,increased,1,0,Dipyridamole increases the level of Hydrogen peroxide in the blood
Dipyridamole,Phosphate,decreased,0,1,Dipyridamole decreases the level of Phosphate in the blood
Disopyramide,Glucose,decreased,0,1,Disopyramide decreases the level of Glucose in the blood
Dobutamine,Lactate,decreased,0,1,Dobutamine decreases the level of Lactate in the blood
Dolutegravir,Triglycerides,increased,1,0,Dolutegravir increases the level of Triglycerides in the blood
Dolutegravir,Creatinine,increased,1,0,Dolutegravir increases the level of Creatinine in the blood
Dolutegravir,LDL cholesterol,increased,1,0,Dolutegravir increases the level of LDL cholesterol in the blood
Dolutegravir,Total cholesterol,increased,1,0,Dolutegravir increases the level of Total cholesterol in the blood
Domperidone,Dopamine,increased,1,0,Domperidone increases the level of Dopamine in the blood
Domperidone,Glucose,decreased,0,1,Domperidone decreases the level of Glucose in the blood
Domperidone,Norepinephrine,increased,1,0,Domperidone increases the level of Norepinephrine in the blood
Dopamine,Noradrenaline,increased,1,0,Dopamine increases the level of Noradrenaline in the blood
Dopamine,Blood urea nitrogen,decreased,0,1,Dopamine decreases the level of Blood urea nitrogen in the blood
Dopamine,Glucose,increased,1,0,Dopamine increases the level of Glucose in the blood
Dopamine,Non-esterified fatty acids,increased,1,0,Dopamine increases the level of Non-esterified fatty acids in the blood
Dopamine,Creatinine,decreased,0,1,Dopamine decreases the level of Creatinine in the blood
Dopamine,TSH,decreased,0,1,Dopamine decreases the level of TSH in the blood
Dopexamine,Norepinephrine,increased,1,0,Dopexamine increases the level of Norepinephrine in the blood
Dopexamine,Lactate,increased,1,0,Dopexamine increases the level of Lactate in the blood
Doxapram,Cortisol,increased,1,0,Doxapram increases the level of Cortisol in the blood
Doxazosin,Glucose,decreased,0,1,Doxazosin decreases the level of Glucose in the blood
Doxazosin,VLDL cholesterol,decreased,0,1,Doxazosin decreases the level of VLDL cholesterol in the blood
Doxazosin,VLDL triglycerides,decreased,0,1,Doxazosin decreases the level of VLDL triglycerides in the blood
Doxazosin,LDL triglycerides,decreased,0,1,Doxazosin decreases the level of LDL triglycerides in the blood
Doxazosin,LDL cholesterol,decreased,0,1,Doxazosin decreases the level of LDL cholesterol in the blood
Doxazosin,Cholesterol,decreased,0,1,Doxazosin decreases the level of Cholesterol in the blood
Doxazosin,Triglycerides,decreased,0,1,Doxazosin decreases the level of Triglycerides in the blood
Doxazosin,HDL cholesterol,increased,1,0,Doxazosin increases the level of HDL cholesterol in the blood
Doxazosin,HDL triglycerides,decreased,0,1,Doxazosin decreases the level of HDL triglycerides in the blood
Doxercalciferol,Calcium,increased,1,0,Doxercalciferol increases the level of Calcium in the blood
Doxercalciferol,Phosphorus,increased,1,0,Doxercalciferol increases the level of Phosphorus in the blood
Dronedarone,Creatinine,increased,1,0,Dronedarone increases the level of Creatinine in the blood
Droxidopa,Norepinephrine,increased,1,0,Droxidopa increases the level of Norepinephrine in the blood
Dulaglutide,C-peptide,increased,1,0,Dulaglutide increases the level of C-peptide in the blood
Dulaglutide,Glucose,decreased,0,1,Dulaglutide decreases the level of Glucose in the blood
Duloxetine,"3,4-dihydroxyphenylglycol",decreased,0,1,"Duloxetine decreases the level of 3,4-dihydroxyphenylglycol in the blood"
Duloxetine,Serotonin,decreased,0,1,Duloxetine decreases the level of Serotonin in the blood
Duloxetine,Total cholesterol,increased,1,0,Duloxetine increases the level of Total cholesterol in the blood
Duloxetine,3-methoxy-4-hydroxyphenylglycol,increased,1,0,Duloxetine increases the level of 3-methoxy-4-hydroxyphenylglycol in the blood
Duloxetine,Glucose,increased,1,0,Duloxetine increases the level of Glucose in the blood
Dutasteride,DiHydro Testosterone,decreased,0,1,Dutasteride decreases the level of DiHydro Testosterone in the blood
Dydrogesterone,HDL cholesterol,increased,1,0,Dydrogesterone increases the level of HDL cholesterol in the blood
Dydrogesterone,Triglycerides,increased,1,0,Dydrogesterone increases the level of Triglycerides in the blood
Eculizumab,Creatinine,decreased,0,1,Eculizumab decreases the level of Creatinine in the blood
Edaravone,Uric acid,increased,1,0,Edaravone increases the level of Uric acid in the blood
Edivoxetine,"3,4-dihydroxyphenylglycol",decreased,0,1,"Edivoxetine decreases the level of 3,4-dihydroxyphenylglycol in the blood"
Efavirenz,Vitamin D,decreased,0,1,Efavirenz decreases the level of Vitamin D in the blood
Efavirenz,4beta-hydroxycholesterol,increased,1,0,Efavirenz increases the level of 4beta-hydroxycholesterol in the blood
Efavirenz,LDL cholesterol,increased,1,0,Efavirenz increases the level of LDL cholesterol in the blood
Efavirenz,Total cholesterol,increased,1,0,Efavirenz increases the level of Total cholesterol in the blood
Efavirenz,Glucose,increased,1,0,Efavirenz increases the level of Glucose in the blood
Efavirenz,Triglycerides,increased,1,0,Efavirenz increases the level of Triglycerides in the blood
Efavirenz,HDL cholesterol,increased,1,0,Efavirenz increases the level of HDL cholesterol in the blood
Efavirenz,Bilirubin,decreased,0,1,Efavirenz decreases the level of Bilirubin in the blood
Efavirenz,25-hydroxyvitamin D,decreased,0,1,Efavirenz decreases the level of 25-hydroxyvitamin D in the blood
Efonidipine,LDL cholesterol,decreased,0,1,Efonidipine decreases the level of LDL cholesterol in the blood
Efonidipine,Aldosterone,increased,1,0,Efonidipine increases the level of Aldosterone in the blood
Efonidipine,Aldosterone,decreased,0,1,Efonidipine decreases the level of Aldosterone in the blood
Eliglustat,Glucocerebroside,decreased,0,1,Eliglustat decreases the level of Glucocerebroside in the blood
Empagliflozin,Glucose,decreased,0,1,Empagliflozin decreases the level of Glucose in the blood
Emtricitabine,Creatinine,increased,1,0,Emtricitabine increases the level of Creatinine in the blood
Emtricitabine,HDL cholesterol,increased,1,0,Emtricitabine increases the level of HDL cholesterol in the blood
Enalapril,HWESASXX,increased,1,0,Enalapril increases the level of HWESASXX in the blood
Enalapril,Urea,decreased,0,1,Enalapril decreases the level of Urea in the blood
Enalapril,Potassium,increased,1,0,Enalapril increases the level of Potassium in the blood
Enalapril,Asymmetric dimethylarginine,decreased,0,1,Enalapril decreases the level of Asymmetric dimethylarginine in the blood
Enalapril,Glucose,decreased,0,1,Enalapril decreases the level of Glucose in the blood
Enalapril,Sodium,increased,1,0,Enalapril increases the level of Sodium in the blood
Enalapril,Creatinine,increased,1,0,Enalapril increases the level of Creatinine in the blood
Enalapril,Homocysteine,increased,1,0,Enalapril increases the level of Homocysteine in the blood
Enalapril,HDL cholesterol,increased,1,0,Enalapril increases the level of HDL cholesterol in the blood
Enalapril,"Bradykinin, des-arg(9)",increased,1,0,"Enalapril increases the level of Bradykinin, des-arg(9) in the blood"
Enalapril,Aspartylphenylalanine,decreased,0,1,Enalapril decreases the level of Aspartylphenylalanine in the blood
Enalapril,Phenylalanylphenylalanine,decreased,0,1,Enalapril decreases the level of Phenylalanylphenylalanine in the blood
Enalaprilat,Urea,decreased,0,1,Enalaprilat decreases the level of Urea in the blood
Enalaprilat,Creatinine,decreased,0,1,Enalaprilat decreases the level of Creatinine in the blood
Enalaprilat,Bradykinin,increased,1,0,Enalaprilat increases the level of Bradykinin in the blood
Enalaprilat,Aldosterone,decreased,0,1,Enalaprilat decreases the level of Aldosterone in the blood
Encainide,Quinidine sulphate,increased,1,0,Encainide increases the level of Quinidine sulphate in the blood
Enflurane,Bilirubin,decreased,0,1,Enflurane decreases the level of Bilirubin in the blood
Enflurane,Creatinine,increased,1,0,Enflurane increases the level of Creatinine in the blood
Entacapone,L-dopa,increased,1,0,Entacapone increases the level of L-dopa in the blood
Entacapone,DOPAC,increased,1,0,Entacapone increases the level of DOPAC in the blood
Entacapone,"3,4-dihydroxyphenylacetic acid",increased,1,0,"Entacapone increases the level of 3,4-dihydroxyphenylacetic acid in the blood"
Entacapone,Homovanillic acid,decreased,0,1,Entacapone decreases the level of Homovanillic acid in the blood
Entacapone,3-O-methyldopa,decreased,0,1,Entacapone decreases the level of 3-O-methyldopa in the blood
Entacapone,Homocysteine,decreased,0,1,Entacapone decreases the level of Homocysteine in the blood
Entecavir,Total bilirubin,decreased,0,1,Entecavir decreases the level of Total bilirubin in the blood
Epanolol,Potassium,increased,1,0,Epanolol increases the level of Potassium in the blood
Ephedrine,Lactate,increased,1,0,Ephedrine increases the level of Lactate in the blood
Ephedrine,Epinephrine,increased,1,0,Ephedrine increases the level of Epinephrine in the blood
Ephedrine,Glucose,increased,1,0,Ephedrine increases the level of Glucose in the blood
Ephedrine,Norepinephrine,increased,1,0,Ephedrine increases the level of Norepinephrine in the blood
Ephedrine,potassium,decreased,0,1,Ephedrine decreases the level of potassium in the blood
Epinephrine,Lactate,increased,1,0,Epinephrine increases the level of Lactate in the blood
Epinephrine,Free fatty acids,increased,1,0,Epinephrine increases the level of Free fatty acids in the blood
Epinephrine,Glucose,increased,1,0,Epinephrine increases the level of Glucose in the blood
Epinephrine,Glucose,increased,1,0,Epinephrine increases the level of Glucose in the blood
Epinephrine,Lactate,increased,1,0,Epinephrine increases the level of Lactate in the blood
Epinephrine,potassium,decreased,0,1,Epinephrine decreases the level of potassium in the blood
Epinephrine,Pyruvate,increased,1,0,Epinephrine increases the level of Pyruvate in the blood
Eplerenone,Potassium,increased,1,0,Eplerenone increases the level of Potassium in the blood
Eplerenone,Potassium,increased,1,0,Eplerenone increases the level of Potassium in the blood
Eprosartan,Asymmetric dimethylarginine,decreased,0,1,Eprosartan decreases the level of Asymmetric dimethylarginine in the blood
Eprosartan,Norepinephrine,increased,1,0,Eprosartan increases the level of Norepinephrine in the blood
Ergocalciferol,25-hydroxyvitamin D,increased,1,0,Ergocalciferol increases the level of 25-hydroxyvitamin D in the blood
Ergocalciferol,"1,25-dihydroxyvitamin D",increased,1,0,"Ergocalciferol increases the level of 1,25-dihydroxyvitamin D in the blood"
Ergocalciferol,Phosphorus,increased,1,0,Ergocalciferol increases the level of Phosphorus in the blood
Ergocalciferol,25-hydroxycholecalciferol,decreased,0,1,Ergocalciferol decreases the level of 25-hydroxycholecalciferol in the blood
Ergocalciferol,Calcium,increased,1,0,Ergocalciferol increases the level of Calcium in the blood
Ergocalciferol,25-hydroxyErgocalciferol,increased,1,0,Ergocalciferol increases the level of 25-hydroxyErgocalciferol in the blood
Ergotamine,5-hydroxytryptamine,decreased,0,1,Ergotamine decreases the level of 5-hydroxytryptamine in the blood
Escitalopram,Serotonin,decreased,0,1,Escitalopram decreases the level of Serotonin in the blood
Esketamine,Indole-3-acetate,decreased,0,1,Esketamine decreases the level of Indole-3-acetate in the blood
Esketamine,Ornithine (Orn),decreased,0,1,Esketamine decreases the level of Ornithine (Orn) in the blood
Esketamine,Propionylcarnitine,decreased,0,1,Esketamine decreases the level of Propionylcarnitine in the blood
Esketamine,Butyrylcarnitine/ isobutyrylcarnitine (C4),decreased,0,1,Esketamine decreases the level of Butyrylcarnitine/ isobutyrylcarnitine (C4) in the blood
Esketamine,Indole-3-lactate,decreased,0,1,Esketamine decreases the level of Indole-3-lactate in the blood
Esketamine,Threonine,decreased,0,1,Esketamine decreases the level of Threonine in the blood
Esketamine,Tyrosine (Tyr),decreased,0,1,Esketamine decreases the level of Tyrosine (Tyr) in the blood
Esketamine,Lyxitol,decreased,0,1,Esketamine decreases the level of Lyxitol in the blood
Esketamine,Alanine (Ala),decreased,0,1,Esketamine decreases the level of Alanine (Ala) in the blood
Esketamine,Tryptophan (Trp),decreased,0,1,Esketamine decreases the level of Tryptophan (Trp) in the blood
Esketamine,Butyrylcarnitine,decreased,0,1,Esketamine decreases the level of Butyrylcarnitine in the blood
Esketamine,Propionylcarnitine (C3),decreased,0,1,Esketamine decreases the level of Propionylcarnitine (C3) in the blood
Eslicarbazepine acetate,Sodium,decreased,0,1,Eslicarbazepine acetate decreases the level of Sodium in the blood
Eslicarbazepine acetate,Thyroxine Sulfate,decreased,0,1,Eslicarbazepine acetate decreases the level of Thyroxine Sulfate in the blood
Eslicarbazepine acetate,Triiodothyronine,decreased,0,1,Eslicarbazepine acetate decreases the level of Triiodothyronine in the blood
Estradiol,Testosterone,decreased,0,1,Estradiol decreases the level of Testosterone in the blood
Estradiol,Cortisol,decreased,0,1,Estradiol decreases the level of Cortisol in the blood
Estradiol,Triglycerides,increased,1,0,Estradiol increases the level of Triglycerides in the blood
Estradiol,Estradiol,increased,1,0,Estradiol increases the level of Estradiol in the blood
Estradiol,Calcitriol,increased,1,0,Estradiol increases the level of Calcitriol in the blood
Estradiol,Cortisol,increased,1,0,Estradiol increases the level of Cortisol in the blood
Estradiol,HDL cholesterol,increased,1,0,Estradiol increases the level of HDL cholesterol in the blood
Estramustine,Testosterone,decreased,0,1,Estramustine decreases the level of Testosterone in the blood
Etacrynic acid,Potassium,decreased,0,1,Etacrynic acid decreases the level of Potassium in the blood
Etacrynic acid,potassium,decreased,0,1,Etacrynic acid decreases the level of potassium in the blood
Etanercept,Pentosidine,decreased,0,1,Etanercept decreases the level of Pentosidine in the blood
Ethanol,malondialdehyde,increased,1,0,Ethanol increases the level of malondialdehyde in the blood
Ethanol,total cholesterol,increased,1,0,Ethanol increases the level of total cholesterol in the blood
Ethanol,triglycerides,increased,1,0,Ethanol increases the level of triglycerides in the blood
Ethanol,glutathione,increased,1,0,Ethanol increases the level of glutathione in the blood
Ethanol,HDL polyunsaturated fatty acid,increased,1,0,Ethanol increases the level of HDL polyunsaturated fatty acid in the blood
Ethanol,HDL phospholipid,increased,1,0,Ethanol increases the level of HDL phospholipid in the blood
Ethanol,HDL cholesterol,increased,1,0,Ethanol increases the level of HDL cholesterol in the blood
Ethanol,Antidiuretic hormone,decreased,0,1,Ethanol decreases the level of Antidiuretic hormone in the blood
Ethanol,Serotonin,decreased,0,1,Ethanol decreases the level of Serotonin in the blood
Ethanol,LDL cholesterol,increased,1,0,Ethanol increases the level of LDL cholesterol in the blood
Ethanol,3-methoxy-4-hydroxyphenylethylene glycol,increased,1,0,Ethanol increases the level of 3-methoxy-4-hydroxyphenylethylene glycol in the blood
Ethanol,Lactate,increased,1,0,Ethanol increases the level of Lactate in the blood
Ethanol,Pyruvate,decreased,0,1,Ethanol decreases the level of Pyruvate in the blood
Ethanol,Cortisol,decreased,0,1,Ethanol decreases the level of Cortisol in the blood
Ethanol,Glucose,decreased,0,1,Ethanol decreases the level of Glucose in the blood
Ethanol,Sodium,increased,1,0,Ethanol increases the level of Sodium in the blood
Ethinylestradiol,Testosterone,decreased,0,1,Ethinylestradiol decreases the level of Testosterone in the blood
Ethinylestradiol,HDL cholesterol,increased,1,0,Ethinylestradiol increases the level of HDL cholesterol in the blood
Ethinylestradiol,Total cholesterol,decreased,0,1,Ethinylestradiol decreases the level of Total cholesterol in the blood
Ethinylestradiol,Triglycerides,increased,1,0,Ethinylestradiol increases the level of Triglycerides in the blood
Ethynodiol diacetate,Glucose,increased,1,0,Ethynodiol diacetate increases the level of Glucose in the blood
Etidronic acid,Phosphate,increased,1,0,Etidronic acid increases the level of Phosphate in the blood
Etofibrate,Total cholesterol,decreased,0,1,Etofibrate decreases the level of Total cholesterol in the blood
Etofibrate,VLDL triglycerides,decreased,0,1,Etofibrate decreases the level of VLDL triglycerides in the blood
Etofibrate,Uric acid,decreased,0,1,Etofibrate decreases the level of Uric acid in the blood
Etofibrate,HDL cholesterol,increased,1,0,Etofibrate increases the level of HDL cholesterol in the blood
Etofibrate,VLDL cholesterol,decreased,0,1,Etofibrate decreases the level of VLDL cholesterol in the blood
Etofibrate,Cholesterol,decreased,0,1,Etofibrate decreases the level of Cholesterol in the blood
Etofibrate,Triglycerides,decreased,0,1,Etofibrate decreases the level of Triglycerides in the blood
Etofibrate,LDL cholesterol,decreased,0,1,Etofibrate decreases the level of LDL cholesterol in the blood
